,accuracy,computationtime,dataset,kfolds,max,mean,method,min,std,trees
144,0.86,7.46399998665,liver,50,1.0,0.86,adaboost,0.0,0.346987031458,2
145,0.86,17.6099998951,liver,50,1.0,0.86,adaboost,0.0,0.346987031458,5
146,0.88,32.4319999218,liver,50,1.0,0.88,adaboost,0.0,0.324961536185,10
147,0.86,61.9340000153,liver,50,1.0,0.86,adaboost,0.0,0.346987031458,20
148,0.8,0.15299987793,liver,5,1.0,0.8,adaboost,0.0,0.4,2
149,0.2,0.151999950409,liver,5,1.0,0.2,adaboost,0.0,0.4,5
150,0.6,0.164999961853,liver,5,1.0,0.6,adaboost,0.0,0.489897948557,10
151,0.6,0.153000116348,liver,5,1.0,0.6,adaboost,0.0,0.489897948557,20
152,0.7,0.96799993515,liver,20,1.0,0.7,adaboost,0.0,0.458257569496,2
153,0.6,1.01700019836,liver,20,1.0,0.6,adaboost,0.0,0.489897948557,5
154,0.75,1.09499979019,liver,20,1.0,0.75,adaboost,0.0,0.433012701892,10
155,0.7,0.93799996376,liver,20,1.0,0.7,adaboost,0.0,0.458257569496,20
156,0.94,5.19799995422,leuk,50,1.0,0.94,bagging,0.0,0.237486841741,2
157,0.98,10.893999815,leuk,50,1.0,0.98,bagging,0.0,0.14,5
158,0.98,20.7990000248,leuk,50,1.0,0.98,bagging,0.0,0.14,10
159,0.98,45.0630002022,leuk,50,1.0,0.98,bagging,0.0,0.14,20
160,1.0,0.146000146866,leuk,5,1.0,1.0,bagging,1.0,0.0,2
161,1.0,0.240000009537,leuk,5,1.0,1.0,bagging,1.0,0.0,5
162,1.0,0.40700006485,leuk,5,1.0,1.0,bagging,1.0,0.0,10
163,1.0,0.761999845505,leuk,5,1.0,1.0,bagging,1.0,0.0,20
164,1.0,0.655999898911,leuk,20,1.0,1.0,bagging,1.0,0.0,2
165,1.0,1.15100002289,leuk,20,1.0,1.0,bagging,1.0,0.0,5
166,1.0,1.95800018311,leuk,20,1.0,1.0,bagging,1.0,0.0,10
167,1.0,3.75699996948,leuk,20,1.0,1.0,bagging,1.0,0.0,20
168,0.94,4.32699990273,leuk,50,1.0,0.94,dtree,0.0,0.0,1
169,1.0,0.076000213623,leuk,5,1.0,1.0,dtree,1.0,0.0,1
170,1.0,0.318000078201,leuk,20,1.0,1.0,dtree,1.0,0.0,1
171,0.94,1.82500004768,leuk,50,1.0,0.94,randomforest,0.0,0.237486841741,2
172,0.98,4.10500001907,leuk,50,1.0,0.98,randomforest,0.0,0.14,5
173,0.98,7.42499995232,leuk,50,1.0,0.98,randomforest,0.0,0.14,10
174,0.98,8.76499986649,leuk,50,1.0,0.98,randomforest,0.0,0.14,20
175,1.0,0.148000001907,leuk,5,1.0,1.0,randomforest,1.0,0.0,2
176,1.0,0.31200003624,leuk,5,1.0,1.0,randomforest,1.0,0.0,5
177,1.0,0.494999885559,leuk,5,1.0,1.0,randomforest,1.0,0.0,10
178,1.0,0.918999910355,leuk,5,1.0,1.0,randomforest,1.0,0.0,20
179,1.0,0.621000051498,leuk,20,1.0,1.0,randomforest,1.0,0.0,2
180,1.0,1.08799982071,leuk,20,1.0,1.0,randomforest,1.0,0.0,5
181,1.0,1.93000006676,leuk,20,1.0,1.0,randomforest,1.0,0.0,10
182,1.0,3.52500009537,leuk,20,1.0,1.0,randomforest,1.0,0.0,20
183,0.98,5.0,leuk,50,1.0,0.98,adaboost,0.0,0.14,2
184,0.92,5.05900001526,leuk,50,1.0,0.92,adaboost,0.0,0.271293199325,5
185,0.98,4.93800020218,leuk,50,1.0,0.98,adaboost,0.0,0.14,10
186,0.96,4.95499992371,leuk,50,1.0,0.96,adaboost,0.0,0.195959179423,20
187,1.0,0.0989999771118,leuk,5,1.0,1.0,adaboost,1.0,0.0,2
188,1.0,0.095999956131,leuk,5,1.0,1.0,adaboost,1.0,0.0,5
189,1.0,0.0869998931885,leuk,5,1.0,1.0,adaboost,1.0,0.0,10
190,1.0,0.123000144958,leuk,5,1.0,1.0,adaboost,1.0,0.0,20
191,1.0,0.47400021553,leuk,20,1.0,1.0,adaboost,1.0,0.0,2
192,1.0,0.415999889374,leuk,20,1.0,1.0,adaboost,1.0,0.0,5
193,1.0,0.613000154495,leuk,20,1.0,1.0,adaboost,1.0,0.0,10
194,1.0,0.421000003815,leuk,20,1.0,1.0,adaboost,1.0,0.0,20
