,aveaccuracy,computationtime,cancertype,kfolds,maxsinglefold,mean,method,minsinglefold,std,ntrees
96,0.532258064516,0.0193250179291,colon,2,0.677419354839,0.532258064516,adaboost,0.387096774194,0.145161290323,2
97,0.548387096774,0.040354013443,colon,2,0.709677419355,0.548387096774,adaboost,0.387096774194,0.161290322581,5
98,0.548387096774,0.0614800453186,colon,2,0.741935483871,0.548387096774,adaboost,0.354838709677,0.193548387097,10
99,0.564516129032,0.11355805397,colon,2,0.774193548387,0.564516129032,adaboost,0.354838709677,0.209677419355,20
100,0.564516129032,0.32653594017,colon,2,0.741935483871,0.564516129032,adaboost,0.387096774194,0.177419354839,60
101,0.548387096774,0.553821086884,colon,2,0.741935483871,0.548387096774,adaboost,0.354838709677,0.193548387097,100
102,0.693939393939,0.051276922226,colon,3,0.8,0.693939393939,adaboost,0.6,0.0820982859645,2
103,0.710606060606,0.105997085571,colon,3,0.85,0.710606060606,adaboost,0.6,0.104072271279,5
104,0.727272727273,0.207874059677,colon,3,0.85,0.727272727273,adaboost,0.65,0.087748074155,10
105,0.787878787879,0.425565958023,colon,3,0.863636363636,0.787878787879,adaboost,0.65,0.0976538366323,20
106,0.818181818182,1.2476940155,colon,3,0.954545454545,0.818181818182,adaboost,0.65,0.126349465087,60
107,0.801515151515,2.05916690826,colon,3,0.954545454545,0.801515151515,adaboost,0.6,0.148747448682,100
108,0.771794871795,0.0915729999542,colon,5,0.923076923077,0.771794871795,adaboost,0.666666666667,0.0987762065859,2
109,0.769230769231,0.208445072174,colon,5,0.923076923077,0.769230769231,adaboost,0.5,0.187679346617,5
110,0.802564102564,0.412647008896,colon,5,0.923076923077,0.802564102564,adaboost,0.5,0.165150898265,10
111,0.869230769231,0.808063983917,colon,5,1,0.869230769231,adaboost,0.666666666667,0.114210551032,20
112,0.852564102564,2.41486406326,colon,5,0.923076923077,0.852564102564,adaboost,0.666666666667,0.098975687516,60
113,0.869230769231,4.14762306213,colon,5,0.923076923077,0.869230769231,adaboost,0.75,0.0686346605863,100
114,0.754284274194,0.121102809906,bladder,2,0.774193548387,0.754284274194,bagging,0.734375,0.0199092741935,2
